Gene,Profile.rep3,Transcripts.rep3,Profile.rep1,Transcripts.rep1,Profile.rep2,Transcripts.rep2
camk2g1,50,1606.48132046033,50,962.725161157287,50,1738.31067398741
celf1,50,3428.14856115146,50,990.520792906285,50,1145.77124899715
ctdsplb,50,1497.64073719529,50,1349.57303513703,50,924.058750489785
dazl,50,5348.80259610016,50,1351.17457177325,50,1636.27899541638
grip2a,50,2258.0414685076,50,1418.18389834064,50,871.739812587078
hook2,50,3346.28998412907,50,16553.5489347882,50,3486.69086600998
lef1,50,762.708805208842,50,275.798307351146,50,307.113360043358
myl12.1,50,3330.86147828028,50,12715.4665274014,50,14089.8425173226
sh2d5,50,6456.08712527634,50,868.632012387395,50,2874.91403438483
shcbp1,50,3421.66089598046,50,22888.7277076656,50,14281.1464184603
slbp2,50,5292.02776797737,50,15303.5675608742,50,11154.2807002464
sybu,50,752.505101395961,50,212.670962622627,50,345.923372127862
trim36,50,6362.42229532366,50,5943.40567713623,50,5307.97217931124
vrtn,50,1689.17638769437,50,998.929897130352,50,2919.75490330215
git1,50,591.504046574288,50,159.19238292815,49,184.024379938525
slc38a7,50,1252.06037153343,50,2579.51798209701,49,2789.01674908894
tpd52l2b,50,1376.78089075415,50,1298.78044504613,49,796.590692179624
ccdc88c,49,689.65479353047,50,103.610833997972,49,233.054816992651
rftn2,50,1628.09066629116,49,5374.4931252968,50,2460.59176838471
sulf1,50,406.106386012771,49,432.544550768078,50,270.778546261575
wnt8a,50,423.229328025005,49,201.356601829425,50,397.224409047994
fndc3ba,50,191.629946895346,49,106.235386077162,49,182.274223080266
hmmr,50,2159.68204685331,49,112.273493227467,49,251.663737017342
ino80db,50,1073.4004299408,49,268.873332888792,49,271.380851311974
pawr,50,261.802871260832,49,198.062962387599,49,181.965517542227
rab3aa,50,369.24087356867,49,827.678491246621,49,1857.0527949069
ralbp1,50,744.531370270466,49,477.270865359237,49,445.18296154657
slc7a6,50,1122.13120122494,49,494.329651950113,49,1128.07121843009
zcchc10,50,2402.03208073166,49,453.642516872816,49,1422.01554118487
samd13,50,401.184221932546,49,56.5327680000427,48,76.1371000009502
clic4,49,603.493559618852,49,274.713276152364,49,322.929707636936
UNC13B,49,519.89045358149,49,2465.90769672821,49,1423.4574121593
KIF2A,49,904.198765069422,49,2469.9180073122,49,2108.17510686441
myh9a,49,1946.8686506482,49,1247.97527225455,49,1150.82128794289
tmem194b,49,747.95063491137,49,132.118058582498,49,2067.25113375016
efhd2,49,1359.75303900806,49,2056.20040852206,48,1711.64829118966
flii,49,1008.75673550288,49,446.533697649983,48,1150.94943680613
map3k1,49,686.907310177805,49,687.590807757854,48,1242.26416462979
map3k7,49,1997.06756692756,49,21276.1310447491,48,12179.303146592
mob1bb,49,859.346908539307,49,519.348212263352,48,1137.73409145019
ndel1b,49,1850.53388607422,49,3107.97910470728,48,1090.01225391496
pip4k2aa,49,467.230382326571,49,711.769453029415,48,376.074163086892
tgfa,49,130.461937451089,49,104.776072550767,48,131.343505701458
tpm3,49,2248.65608482598,49,3933.89460324534,47,4029.16311483005
lmbr1,48,122.230260605568,49,186.985517075724,49,77.1299382359768
ptprga,48,217.046348773256,49,331.632207768659,49,541.212681309483
ube2w,48,579.937000125993,49,305.463019608755,48,509.908997443389
usp19,47,568.516629440346,49,1160.4376884945,47,1427.45215579143
fhod1,50,493.434170464609,48,163.680131408514,49,277.267959490664
lnx2b,50,1387.29566526729,48,170.356823699152,49,460.294711793837
zgc:153952,50,1161.40649235826,48,118.563874450977,49,267.863352830866
kpna6,49,127.137755484388,48,134.758064121282,49,298.403452479774
b4galt6,49,1738.74234393368,48,1266.26959138485,48,2307.35272167699
crlf3,49,231.533548549746,48,374.797458208292,48,296.827357211288
elovl1a,49,574.890640367668,48,440.575369089564,48,741.970312479577
mapkapk2a,49,2400.88437164222,48,1664.62932868354,48,1052.08099392184
ppp1r3b,49,3576.92098693608,48,17096.3653124316,48,6293.34440289459
raver1,49,3289.77519238659,48,3955.98144541691,48,3364.70286982898
rnf41,49,903.226138919565,48,826.504097671151,48,1038.86825343469
tex261,49,820.356363352562,48,416.668135074665,48,931.087116787428
klhl11,49,219.846531421692,48,938.213475456715,47,1508.51186222973
tmem120b,49,896.485766190639,48,155.320814760623,47,193.95766896891
zbtb1,48,360.322610428825,48,265.082128814902,50,298.379827299842
zswim5,48,586.772898360567,48,801.999223675084,49,514.632498289207
tmem104,48,1025.53604617945,48,587.545235218954,48,471.714100171424
fam135a,48,828.104144101125,48,2067.14075402928,48,1174.56094675519
itpkca,48,887.722618177253,48,279.02623077344,48,269.29283876115
mast3b,48,263.808102868746,48,118.885628394095,48,133.296657965761
ormdl1,48,527.656376147921,48,575.440033100777,48,444.634395768931
ppp2r5eb,48,603.756528431809,48,425.708912930479,48,396.494194885688
chic2,48,818.29385162596,48,660.718554384358,47,2040.98475998602
smx5,48,533.109968930218,48,358.912907990783,47,470.570582756137
tpd52l2a,47,176.737154876839,48,155.728825819744,48,135.685845022204
yap1,47,949.013113265286,48,3230.58822581277,48,1687.33391594602
chmp4ba,47,344.482722396119,48,66.5991022922775,47,86.9522501005264
si:dkey-238d18.4,46,170.076997471536,48,65.9478030674154,47,82.9041866121216
krtcap2,46,1726.59153664698,48,689.014889678341,46,852.677040768274
tor1,49,430.672324532803,47,659.803422950299,49,801.277194945109
anln,50,3129.15785679608,46,624.00853204282,50,452.624873550903
bach2a,49,234.808996158487,46,280.835659403454,48,205.845153558532
fam117ab,49,920.334423851097,46,1190.64147482977,48,437.926077470263
mxd3,49,3462.80232401711,46,3094.10357753811,48,3481.91670671236
rnf38,49,479.65552962475,46,129.792268916783,48,461.999100744614
rtn4a,49,5134.50505238226,46,2731.81867612894,48,2660.25200276125
tsc22d2,49,591.085049526961,46,434.962066897848,48,483.966962010214
dazap2,49,695.502142112282,46,302.185491849099,47,360.412643474974
larp4b,49,433.11345219627,46,375.469597964944,47,490.899105641403
micall2a,49,927.754937916776,46,580.715860742866,47,605.339836015726
ube2q2,49,525.287260102861,46,274.566670152703,47,350.525574100465
vrk3,49,667.013493373378,46,99.3055687574477,47,412.188785106179
yipf3,49,195.699230114863,46,182.253796161903,46,85.567832926209
clcn3,48,483.787602230323,46,1418.55199789731,48,2263.84527591673
r3hdm1,48,913.095755080638,46,2482.08717427196,47,2858.06731310552
ggnbp2,48,2282.88062303652,46,187.47511448117,47,2748.39984540203
slbp,48,1217.14311451997,46,237.532403585672,47,1397.4791465907
ist1,47,958.21118603223,46,4101.4838624793,48,1359.60250343902
ppm1bb,47,916.863171641168,46,6803.83697991846,48,5161.41812375405
